feature,importance,fold
CLOSED_AMT_CREDIT_SUM_SUM,4288.1040098667145,3
NEW_RATIO_BURO_AMT_CREDIT_SUM_SUM,4936.862350702286,3
BUREAU_SCORE,6199.840612649918,3
PREV_APPR_CASH_DAYS_LAST_DUE_1ST_VERSION_DIFF_MEAN,5084.229652404785,3
PREV_APPR_CONSUME_RATE_DOWN_PAYMENT_MAX,7080.589991569519,3
PREV_APPR_CONSUME_AMT_ANNUITY_MEAN,4485.6770849227905,3
PREV_APPR_CONSUME_AMT_ANNUITY_SUM,12099.751918315887,3
PREV_APPR_CONSUME_AMT_APPLICATION_SUM,5132.668724298477,3
PREV_CASH_SCORE,10371.061517000198,3
PREV_CONSUME_SCORE,5478.132794618607,3
POS_SK_DPD_MAX_MEAN,8288.239555835724,3
INSTAL_SCORE,5020.401461839676,3
CC_RAW_AMT_DRAWINGS_CURRENT_MEAN,6014.4001705646515,3
AMT_ANNUITY,12100.907442092896,4
AMT_CREDIT,4657.139222145081,4
AMT_GOODS_PRICE,6842.174265384674,4
CODE_GENDER,7763.679596424103,4
DAYS_BIRTH,15154.98609495163,4
DAYS_EMPLOYED,13905.01378440857,4
DAYS_ID_PUBLISH,6324.288492441177,4
DAYS_REGISTRATION,5316.671586513519,4
EXT_SOURCE_1,7403.45424079895,4
EXT_SOURCE_2,7721.222341299057,4
EXT_SOURCE_3,12996.035053491592,4
OWN_CAR_AGE,5525.066985845566,4
NEW_CREDIT_TO_ANNUITY_RATIO,31428.280747413635,4
NEW_CREDIT_TO_GOODS_RATIO,19612.381329774857,4
NEW_CREDIT_TO_INCOME,5469.6849982738495,4
NEW_EMPLOY_TO_BIRTH_RATIO,8456.82598400116,4
NEW_SOURCES_PROD_12,7965.314285993576,4
NEW_SOURCES_PROD_23,20855.364511966705,4
NEW_SOURCES_PROD_13,4812.147295475006,4
NEW_EXT_SOURCES_MEAN,237989.6266310215,4
NEW_CAR_TO_BIRTH_RATIO,3785.749477148056,4
NEW_PHONE_TO_BIRTH_RATIO,4824.930530786514,4
NAME_EDUCATION_TYPE_Higher education,6290.599472045898,4
ACTIVE_AMT_CREDIT_SUM_SUM,4563.946663618088,4
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,3488.8072826862335,4
ACTIVE_ENDDATE_DIFF_MEAN,3979.412324666977,4
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,4781.877152442932,4
CLOSED_AMT_CREDIT_SUM_SUM,4688.343254804611,4
NEW_RATIO_BURO_AMT_CREDIT_SUM_SUM,4405.02480006218,4
BUREAU_SCORE,4116.610304474831,4
PREV_APPR_CASH_DAYS_LAST_DUE_1ST_VERSION_DIFF_MEAN,5911.2611565589905,4
PREV_APPR_CONSUME_RATE_DOWN_PAYMENT_MAX,5720.774142026901,4
PREV_APPR_CONSUME_AMT_ANNUITY_MEAN,3822.1757826805115,4
PREV_APPR_CONSUME_AMT_ANNUITY_SUM,10997.320301294327,4
PREV_APPR_CONSUME_AMT_APPLICATION_SUM,5016.952482461929,4
PREV_CASH_SCORE,10358.417405366898,4
PREV_CONSUME_SCORE,4212.020122528076,4
POS_SK_DPD_MAX_MEAN,6586.182129144669,4
INSTAL_SCORE,4516.88237118721,4
CC_RAW_AMT_DRAWINGS_CURRENT_MEAN,5670.555285215378,4
AMT_ANNUITY,12269.130056381226,5
AMT_CREDIT,3979.6589465141296,5
AMT_GOODS_PRICE,7166.747583866119,5
CODE_GENDER,7077.9466547966,5
DAYS_BIRTH,14555.267343997955,5
DAYS_EMPLOYED,15294.37698340416,5
DAYS_ID_PUBLISH,6712.559007644653,5
DAYS_REGISTRATION,5291.333253145218,5
EXT_SOURCE_1,8561.982248306274,5
EXT_SOURCE_2,8375.939573049545,5
EXT_SOURCE_3,13315.91084098816,5
OWN_CAR_AGE,6411.865579128265,5
NEW_CREDIT_TO_ANNUITY_RATIO,28966.17839026451,5
NEW_CREDIT_TO_GOODS_RATIO,20653.749791383743,5
NEW_CREDIT_TO_INCOME,5990.6244513988495,5
NEW_EMPLOY_TO_BIRTH_RATIO,7970.02591085434,5
NEW_SOURCES_PROD_12,7686.646274805069,5
NEW_SOURCES_PROD_23,24539.646142959595,5
NEW_SOURCES_PROD_13,5010.138420581818,5
NEW_EXT_SOURCES_MEAN,238268.26065397263,5
NEW_CAR_TO_BIRTH_RATIO,4414.882470607758,5
NEW_PHONE_TO_BIRTH_RATIO,6067.665798187256,5
NAME_EDUCATION_TYPE_Higher education,5558.229825973511,5
ACTIVE_AMT_CREDIT_SUM_SUM,4063.1767575740814,5
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,4723.2560222148895,5
ACTIVE_ENDDATE_DIFF_MEAN,4602.7271094322205,5
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,5262.51322722435,5
CLOSED_AMT_CREDIT_SUM_SUM,3863.9384508132935,5
NEW_RATIO_BURO_AMT_CREDIT_SUM_SUM,3822.6216650009155,5
BUREAU_SCORE,4759.088382959366,5
PREV_APPR_CASH_DAYS_LAST_DUE_1ST_VERSION_DIFF_MEAN,5508.920365571976,5
PREV_APPR_CONSUME_RATE_DOWN_PAYMENT_MAX,6269.391163825989,5
PREV_APPR_CONSUME_AMT_ANNUITY_MEAN,4465.048436880112,5
PREV_APPR_CONSUME_AMT_ANNUITY_SUM,11420.470970153809,5
PREV_APPR_CONSUME_AMT_APPLICATION_SUM,5307.863847255707,5
PREV_CASH_SCORE,10373.886331319809,5
PREV_CONSUME_SCORE,5017.6090631484985,5
POS_SK_DPD_MAX_MEAN,7768.8412408828735,5
INSTAL_SCORE,4071.2138516902924,5
CC_RAW_AMT_DRAWINGS_CURRENT_MEAN,4459.3766078948975,5
